Subject,Key Chapter,StartVerse,EndVerse,Posnack Learning Goals (TBD)
Genesis,24,50,61,Agreement; Rebekah leaves her family
Genesis,24,62,67,Isaac meets Rebekah; marriage
Genesis,25,1,6,Abraham’s later marriage and sons by Keturah
Genesis,25,7,11,Death and burial of Abraham
Genesis,25,12,18,Genealogy of Ishmael
Genesis,25,19,26,Birth of Esau and Jacob
Genesis,25,27,34,Esau sells his birthright to Jacob
Genesis,26,1,5,Famine; God appears to Isaac; promises
Genesis,26,6,11,Isaac lies about Rebekah; discovered
Genesis,26,12,17,Isaac prospers; Philistines envy
Genesis,26,18,22,"Wells reopened; Esek, Sitnah, Rehoboth"
Genesis,26,23,25,The Lord appears at Beersheba; altar
Genesis,26,26,33,Covenant with Abimelech at Beersheba
Genesis,26,34,35,Esau’s Hittite wives grieve parents
Genesis,27,1,4,Isaac plans to bless Esau
Genesis,27,5,17,Rebekah and Jacob’s plan
Genesis,27,18,29,Jacob deceives Isaac; receives blessing
Genesis,27,30,40,Esau discovers deception; lesser blessing
Genesis,27,41,45,Esau’s anger; Jacob to flee
Genesis,27,46,46,Rebekah’s complaint about Hittite women
Genesis,28,1,5,Isaac blesses Jacob; sends to Paddan-aram
Genesis,28,6,9,Esau marries Ishmael’s daughter
Genesis,28,10,15,Jacob’s dream at Bethel; promises
Genesis,28,16,19,Jacob’s response; naming Bethel
Genesis,28,20,22,Jacob’s vow to the Lord
Genesis,29,1,14,Jacob arrives; meets Rachel
Genesis,29,15,20,Seven-year agreement for Rachel
Genesis,29,21,25,Laban deceives; Leah given
Genesis,29,26,30,Rachel also given; more service
Genesis,29,31,35,"Leah bears Reuben, Simeon, Levi, Judah"
Genesis,30,1,8,Rachel gives Bilhah; Dan and Naphtali
Genesis,30,9,13,Leah gives Zilpah; Gad and Asher
Genesis,30,14,21,"Mandrakes; Issachar, Zebulun, Dinah"
Genesis,30,22,24,God remembers Rachel; Joseph born
Genesis,30,25,34,Jacob negotiates spotted wages
Genesis,30,35,43,Breeding strategy; Jacob’s increase
Genesis,31,1,16,Tension with Laban; call to return
Genesis,31,17,24,Secret departure; Laban warned in dream
Genesis,31,25,32,Confrontation; denial of stolen gods
Genesis,31,33,42,Search for idols; Jacob’s rebuke
Genesis,31,43,54,Covenant and heap of witness
Genesis,31,55,55,Laban blesses family and departs
Genesis,32,1,2,Jacob met by angels
Genesis,32,3,8,Message to Esau; fear of meeting
Genesis,32,9,12,Jacob’s prayer
Genesis,32,13,21,Gifts prepared for Esau
Genesis,32,22,32,Jacob wrestles; name Israel
Genesis,33,1,7,Jacob meets Esau
Genesis,33,8,11,Exchange of gifts and words
Genesis,33,12,17,Esau offers to accompany; Jacob declines
Genesis,33,18,20,Jacob settles near Shechem; altar
Genesis,34,1,7,Dinah and Shechem; brothers’ outrage
Genesis,34,8,17,Proposal and deceitful agreement
Genesis,34,18,24,Men of city circumcised
Genesis,34,25,29,Simeon and Levi slaughter city
Genesis,34,30,31,Jacob rebukes; brothers answer
Genesis,35,1,5,Call to Bethel; foreign gods removed
Genesis,35,6,8,Arrival at Bethel; Deborah’s death
Genesis,35,9,15,God reaffirms name Israel and promises
Genesis,35,16,20,Birth of Benjamin; death of Rachel
Genesis,35,21,22,Reuben’s sin with Bilhah
Genesis,35,23,26,Listing of Jacob’s twelve sons
Genesis,35,27,29,Return to Isaac; Isaac’s death
Genesis,36,1,8,Esau’s family and move from Jacob
Genesis,36,9,14,Esau’s descendants in Edom
Genesis,36,15,19,Chiefs from Esau
Genesis,36,20,30,Horite chiefs in Seir
Genesis,36,31,39,Kings of Edom before Israel’s kings
Genesis,36,40,43,Final list of Edomite chiefs
Genesis,37,1,4,Jacob in Canaan; Joseph favored
Genesis,37,5,11,Joseph’s dreams and reactions
Genesis,37,12,24,Joseph sent; brothers’ plot; pit
Genesis,37,25,28,Joseph sold to traders
Genesis,37,29,36,Deception of Jacob; Joseph to Egypt
Genesis,38,1,11,Judah’s family; Tamar widowed
Genesis,38,12,19,Tamar’s plan; pledge taken
Genesis,38,20,23,Judah can’t find her
Genesis,38,24,30,Tamar revealed; Perez and Zerah
Genesis,39,1,6,Joseph prospers in Potiphar’s house
Genesis,39,7,12,Potiphar’s wife tempts Joseph; he flees
Genesis,39,13,18,False accusation
Genesis,39,19,23,Joseph imprisoned; given charge
Genesis,40,1,8,Cupbearer and baker jailed; dreams
Genesis,40,9,15,Cupbearer’s dream interpreted
Genesis,40,16,19,Baker’s dream interpreted
Genesis,40,20,23,Fulfillment; cupbearer forgets Joseph
Genesis,41,1,8,Pharaoh’s two dreams
Genesis,41,9,16,Cupbearer remembers; Joseph summoned
Genesis,41,17,32,Interpretation: plenty then famine
Genesis,41,33,45,Joseph exalted in Egypt
Genesis,41,46,52,Years of plenty; sons born
Genesis,41,53,57,Famine begins; people come to Joseph
Genesis,42,1,5,Jacob sends ten sons to Egypt
Genesis,42,6,17,Brothers before Joseph; accused as spies
Genesis,42,18,24,Test; Simeon kept; confession
Genesis,42,25,28,Money found in sacks
Genesis,42,29,38,Report to Jacob; refusal to send Benjamin
Genesis,43,1,10,Famine continues; Judah offers himself
Genesis,43,11,15,Jacob sends Benjamin with gifts
Genesis,43,16,23,Brothers brought to Joseph’s house
Genesis,43,24,34,Meal with Joseph; Benjamin favored
Genesis,44,1,5,Cup placed in Benjamin’s sack
Genesis,44,6,13,Cup discovered; return to city
Genesis,44,14,17,Benjamin named as slave
Genesis,44,18,34,Judah’s plea to take Benjamin’s place
Genesis,45,1,8,Joseph reveals himself; God’s purpose
Genesis,45,9,15,Joseph sends for Jacob; reconciliation
Genesis,45,16,20,Pharaoh’s offer of best of Egypt
Genesis,45,21,24,Provision and instructions for journey
Genesis,45,25,28,News to Jacob; resolve to go
Genesis,46,1,4,God speaks to Jacob at Beersheba
Genesis,46,5,27,Family travels; list of those going
Genesis,46,28,34,Joseph meets Jacob; Goshen plan
Genesis,47,1,6,Brothers before Pharaoh; Goshen granted
Genesis,47,7,12,Jacob blesses Pharaoh; family provided
Genesis,47,13,22,"Famine management: money, livestock, land"
Genesis,47,23,26,Law of the fifth for Pharaoh
Genesis,47,27,31,Israel prospers; Jacob’s burial request
Genesis,48,1,7,Joseph visits Jacob with his sons
Genesis,48,8,16,Blessing of Ephraim and Manasseh
Genesis,48,17,20,Crossed hands; Ephraim preferred
Genesis,48,21,22,Promise of Joseph’s future portion
Genesis,49,1,2,Jacob calls his sons together
Genesis,49,3,7,"Words about Reuben, Simeon, Levi"
Genesis,49,8,12,Blessing for Judah
Genesis,49,13,21,Words about remaining mid-tribes
Genesis,49,22,26,Blessing for Joseph
Genesis,49,27,27,Word about Benjamin
Genesis,49,28,33,Summary and Jacob’s death
Genesis,50,1,6,Joseph seeks leave to bury Jacob
Genesis,50,7,14,Funeral and burial in Canaan
Genesis,50,15,21,Joseph reassures brothers; God meant it for good
Genesis,50,22,26,"Joseph’s later life, death, and request about his bones"
Exodus,1,1,7,Israel’s fruitfulness and growth in Egypt
Exodus,1,8,14,New Pharaoh oppresses Israel with forced labor
Exodus,1,15,22,Pharaoh commands Hebrew midwives; order to kill boys
Exodus,2,1,10,Birth of Moses; placed in Nile; adopted by Pharaoh’s daughter
Exodus,2,11,15,Moses kills Egyptian; flees to Midian
Exodus,2,16,22,Moses in Midian; marriage; birth of son
Exodus,2,23,25,Israel’s groaning; God remembers His covenant
Exodus,3,1,6,Moses and the burning bush; God calls his name
Exodus,3,7,10,God reveals Israel’s oppression and mission for Moses
Exodus,3,11,15,“Who am I?” and the divine name revealed
Exodus,3,16,22,Instructions to approach elders; promise of plunder from Egypt
Exodus,4,1,9,"Signs given to Moses: staff, hand, water to blood"
Exodus,4,10,17,Moses’ reluctance; Aaron appointed as spokesman
Exodus,4,18,23,Moses returns toward Egypt; first message about God’s firstborn
Exodus,4,24,26,Incident on the way; circumcision and divine threat
Exodus,4,27,31,Moses meets Aaron; signs before the people; they believe
Exodus,5,1,5,First confrontation with Pharaoh; demand to let Israel go
Exodus,5,6,14,"Increased burden: no straw, same quota"
Exodus,5,15,19,Israelite foremen complain to Pharaoh
Exodus,5,20,23,Foremen confront Moses; Moses laments before the Lord
Exodus,6,1,8,God reaffirms His covenant and promises deliverance
Exodus,6,9,9,Moses speaks to the people; they do not listen from discouragement
Exodus,6,10,13,Command to Moses and Aaron to speak to Pharaoh
Exodus,6,14,27,Genealogical summary of the house of Levi (Moses and Aaron)
Exodus,6,28,30,Moses restates his concerns about his speech
Leviticus,1,1,17,Burnt offerings from herd and flock (olah) – laws for whole offerings
Leviticus,2,1,16,Grain offerings (minchah) with oil and frankincense; portions for priests
Leviticus,3,1,17,Peace/fellowship offerings (shelamim) from herd or flock; fat and blood prohibited
Leviticus,4,1,35,"Sin offerings (chatat) for priest, congregation, leader, and common person"
Leviticus,5,1,19,Additional sin and guilt cases; guilt offering (asham) and restitution
Leviticus,6,1,7,Further laws for guilt offering and restitution to neighbor
Leviticus,6,8,30,Priestly law of the burnt and grain offerings; rules for eating portions
Leviticus,7,1,38,"Priestly law of guilt and peace offerings; portions, fat and blood restrictions"
Leviticus,8,1,36,Consecration of Aaron and sons; ordination rites at the tabernacle
Leviticus,9,1,24,Aaron’s first offerings; glory of the Lord appears; fire from the Lord
Leviticus,10,1,20,Nadab and Abihu offer unauthorized fire and die; priestly conduct instructions
Leviticus,11,1,47,Clean and unclean animals; dietary laws marking Israel’s distinctiveness
Leviticus,12,1,8,Purification after childbirth; periods of uncleanness and offerings
Leviticus,13,1,59,Diagnosis of skin disease (tzaraat) on persons and garments
Leviticus,14,1,57,Cleansing rituals for lepers and defiled houses; offerings and procedures
Leviticus,15,1,33,Laws about bodily discharges; impurity and purification
Leviticus,16,1,34,"Day of Atonement rituals: high priest, two goats, cleansing sanctuary and people"
Leviticus,17,1,16,Sacrifices centralized; prohibition of eating blood; slaughter regulations
Leviticus,18,1,30,Sexual morality laws; forbidden unions; warning not to imitate nations
Leviticus,19,1,37,"Holiness and justice code: love neighbor, honest dealings, mixed practices, worship"
Leviticus,20,1,27,"Penalties for serious sins: idolatry, occult, sexual sins; call to be holy"
Leviticus,21,1,24,"Rules for priests’ holiness: mourning, marriage, physical defects"
Leviticus,22,1,33,Acceptable offerings and priestly purity for eating sacred things
Leviticus,23,1,44,"Feasts of the Lord: Sabbath, Passover, Unleavened Bread, Firstfruits, Weeks, Trumpets, Day of Atonement, Booths"
Leviticus,24,1,9,Lamps and bread in the sanctuary—continual light and showbread
Leviticus,24,10,23,"Blasphemer punished; case law on injury, lex talionis, and resident alien"
Leviticus,25,1,55,"Sabbath year and Jubilee: land rest, redemption, treatment of poor and slaves"
Leviticus,26,1,46,Blessings for obedience; curses for disobedience; promise of remembrance
Leviticus,27,1,34,"Vows, dedicated persons and property; valuation, redemption, and tithes"
Numbers,1,1,4,Command to take a census of Israel’s fighting men
Numbers,1,5,16,Leaders of the tribes named for the census
Numbers,1,17,19,Moses and Aaron begin enrolling the men
Numbers,1,20,21,Tribe of Reuben counted
Numbers,1,22,23,Tribe of Simeon counted
Numbers,1,24,25,Tribe of Gad counted
Numbers,1,26,27,Tribe of Judah counted
Numbers,1,28,29,Tribe of Issachar counted
Numbers,1,30,31,Tribe of Zebulun counted
Numbers,1,32,33,Tribe of Ephraim counted
Numbers,1,34,35,Tribe of Manasseh counted
Numbers,1,36,37,Tribe of Benjamin counted
Numbers,1,38,39,Tribe of Dan counted
Numbers,1,40,41,Tribe of Asher counted
Numbers,1,42,43,Tribe of Naphtali counted
Numbers,1,44,46,Summary of the total fighting men
Numbers,1,47,51,Levites excluded from the army; their special role
Numbers,1,52,54,Camp arrangement and guarding of the tabernacle commanded
Numbers,2,1,2,Instruction to arrange camp around the tent of meeting
Numbers,2,3,9,East side: standard of Judah with Issachar and Zebulun
Numbers,2,10,16,South side: standard of Reuben with Simeon and Gad
Numbers,2,17,17,The tent of meeting and Levites in the center
Numbers,2,18,24,West side: standard of Ephraim with Manasseh and Benjamin
Numbers,2,25,31,North side: standard of Dan with Asher and Naphtali
Numbers,2,32,34,Summary of numbers and order of march
Numbers,3,1,4,Aaron’s sons listed; death of Nadab and Abihu recalled
Numbers,3,5,10,Levites given to Aaron for priestly service
Numbers,3,11,13,Levites taken instead of the firstborn of Israel
Numbers,3,14,20,"Family heads of Levi: Gershon, Kohath, Merari"
Numbers,3,21,26,Gershonites’ duties and camping position
Numbers,3,27,32,Kohathites’ duties and camping position
Numbers,3,33,37,Merarites’ duties and camping position
Numbers,3,38,39,"Moses, Aaron, and sons camped before the tabernacle"
Numbers,3,40,43,Count of all firstborn males of Israel
Numbers,3,44,51,Redemption of excess firstborn over Levites with silver
Numbers,4,1,3,Introduction to census of Levites by clan for service
Numbers,4,4,15,Kohathites’ work: handling holy things once covered
Numbers,4,16,20,Warning to Kohathites not to look on holy objects
Numbers,4,21,28,Gershonites’ duties: curtains and coverings
Numbers,4,29,33,"Merarites’ duties: frames, bars, bases, and equipment"
Numbers,4,34,37,Kohathites counted for service (ages 30–50)
Numbers,4,38,41,Gershonites counted for service
Numbers,4,42,45,Merarites counted for service
Numbers,4,46,49,Summary of all Levites assigned to tabernacle service
Numbers,5,1,4,Removal of those ceremonially unclean from the camp
Numbers,5,5,10,"Confession, restitution, and the priest’s share"
Numbers,5,11,22,Jealousy offering: procedure for suspected adultery
Numbers,5,23,28,Oath and outcome if the woman is innocent or guilty
Numbers,5,29,31,Statute of jealousy summarized
Numbers,6,1,8,Nazirite vow: abstaining from wine and hair cutting
Numbers,6,9,12,Defilement during vow and required offerings
Numbers,6,13,21,Completion of Nazirite vow and offerings
Numbers,6,22,23,Lord’s instruction to bless Israel
Numbers,6,24,26,Aaronic blessing pronounced over Israel
Numbers,6,27,27,Putting the Lord’s name on the people
Numbers,7,1,11,Leaders’ offerings for the dedication of the altar introduced
Numbers,7,12,17,Day 1: offering of Nahshon of Judah
Numbers,7,18,23,Day 2: offering of Nethanel of Issachar
Numbers,7,24,29,Day 3: offering of Eliab of Zebulun
Numbers,7,30,35,Day 4: offering of Elizur of Reuben
Numbers,7,36,41,Day 5: offering of Shelumiel of Simeon
Numbers,7,42,47,Day 6: offering of Eliasaph of Gad
Numbers,7,48,53,Day 7: offering of Elishama of Ephraim
Numbers,7,54,59,Day 8: offering of Gamaliel of Manasseh
Numbers,7,60,65,Day 9: offering of Abidan of Benjamin
Numbers,7,66,71,Day 10: offering of Ahiezer of Dan
Numbers,7,72,77,Day 11: offering of Pagiel of Asher
Numbers,7,78,83,Day 12: offering of Ahira of Naphtali
Numbers,7,84,88,Summary of all leaders’ offerings
Numbers,7,89,89,Moses hears the Lord speaking from above the ark
Numbers,8,1,4,Setting up and arrangement of the lampstand
Numbers,8,5,15,Levites cleansed and presented as a wave offering
Numbers,8,16,19,Levites given to Aaron in place of Israel’s firstborn
Numbers,8,20,22,Levites do their service as commanded
Numbers,8,23,26,Age limits and transition in Levite service
Numbers,9,1,5,Command to keep the Passover in the wilderness
Numbers,9,6,14,Provision for those unclean or away at Passover; one statute for all
Numbers,9,15,19,Cloud over the tabernacle guiding when Israel camps
Numbers,9,20,23,"Movement at the Lord’s command, whether short or long stays"
Numbers,10,1,10,Making and use of silver trumpets for assembly and march
Numbers,10,11,13,Cloud lifts; Israel sets out from Sinai
Numbers,10,14,28,Order of march of the tribes with the tabernacle
Numbers,10,29,32,Moses invites Hobab to go with Israel and be their guide
Numbers,10,33,36,Ark goes before them; Moses’ prayer when the ark moves and rests
Numbers,11,1,3,People complain; fire of the Lord burns at the outskirts of camp
Numbers,11,4,9,Mixed multitude craves meat; people weep for Egypt’s food
Numbers,11,10,15,Moses laments burden of the people; asks for death
Numbers,11,16,23,Seventy elders chosen; God promises meat and shares the Spirit
Numbers,11,24,30,Spirit rests on the elders; Eldad and Medad prophesy in the camp
Numbers,11,31,35,Quail sent in abundance; plague strikes the greedy
Numbers,12,1,3,Miriam and Aaron speak against Moses over the Cushite woman
Numbers,12,4,9,The LORD summons them; affirms Moses’ unique status
Numbers,12,10,13,Miriam becomes leprous; Aaron pleads; Moses intercedes
Numbers,12,14,16,Miriam shut outside camp seven days; people do not journey
Numbers,13,1,3,The LORD commands Moses to send men to spy out Canaan
Numbers,13,4,16,Names of the twelve men chosen to explore the land
Numbers,13,17,20,Moses commissions the spies and specifies what to observe
Numbers,13,21,25,Spies explore the land and cut a cluster of grapes at Eshcol
Numbers,13,26,29,Spies report the land’s fruitfulness but emphasize strong peoples and fortified cities
Numbers,13,30,33,Caleb encourages going up; majority exaggerate dangers and giants
Numbers,14,1,4,"The people weep, complain, and propose returning to Egypt"
Numbers,14,5,10,Moses and Aaron fall facedown; Joshua and Caleb plead; congregation threatens to stone them
Numbers,14,11,19,The LORD declares Israel’s unbelief; Moses intercedes for forgiveness
Numbers,14,20,25,God pardons but decrees that generation will not enter the land; Caleb singled out
Numbers,14,26,35,"Sentence on the unbelieving generation: 40 years wandering, one year per day of spying"
Numbers,14,36,38,Ten faithless spies die by plague; only Joshua and Caleb survive
Numbers,14,39,45,People attempt to go up despite warning; Amalekites and Canaanites defeat them
Numbers,15,1,16,Offerings of grain and drink to accompany burnt and fellowship offerings in the land
Numbers,15,17,21,First of the dough given as an offering from Israel’s future grain
Numbers,15,22,29,"Sacrifices for unintentional sins by congregation or individual, native and sojourner alike"
Numbers,15,30,31,"Penalty for defiant, high‑handed sin: that person cut off from the people"
Numbers,15,32,36,Man gathering sticks on the Sabbath is stoned outside the camp
Numbers,15,37,41,Command to make tassels with a blue cord as a reminder to keep the LORD’s commandments
Numbers,16,1,3,"Korah, Dathan, and Abiram lead rebellion against Moses and Aaron"
Numbers,16,4,7,Moses falls facedown and proposes a test with censers to show whom the LORD chooses
Numbers,16,8,11,Moses rebukes Korah and the Levites for seeking the priesthood
Numbers,16,12,15,Moses summons Dathan and Abiram; they refuse and accuse him of failure
Numbers,16,16,22,Assembly gathered at the tent; glory of the LORD appears; Moses and Aaron intercede
Numbers,16,23,30,Warning to move away from the rebels; prediction of an unprecedented judgment
Numbers,16,31,35,Earth opens and swallows Korah’s company; fire consumes the 250 men with censers
Numbers,16,36,40,Bronze censers hammered into plating for the altar as a memorial
Numbers,16,41,45,Next day the congregation complains; a plague begins among the people
Numbers,16,46,50,Aaron runs with incense and makes atonement; he stands between the dead and living; plague stopped
Numbers,17,1,5,The LORD instructs Moses to collect a staff from each tribal leader
Numbers,17,6,7,Twelve staffs placed before the LORD in the tent of testimony
Numbers,17,8,9,"Aaron’s staff buds, blossoms, and produces almonds; proof of God’s choice"
Numbers,17,10,11,Aaron’s staff kept before the testimony as a sign against rebels
Numbers,17,12,13,People fear death from approaching the tabernacle
Numbers,18,1,7,Responsibilities of priests and Levites for sanctuary and altar
Numbers,18,8,20,Priests’ portions from offerings; the LORD as their inheritance
Numbers,18,21,24,Tithes from Israel given to Levites as inheritance
Numbers,18,25,32,Levites’ tithe of the tithe to the priests; handling holy gifts
Numbers,19,1,10,Statute of the red heifer: requirements and ash preparation
Numbers,19,11,13,Law of uncleanness from contact with a dead body
Numbers,19,14,19,Application of water of cleansing on third and seventh days
Numbers,19,20,22,Penalty for refusing purification; spreading uncleanness
Numbers,20,1,6,Death of Miriam at Kadesh; people complain for water
Numbers,20,7,11,Moses strikes the rock at Meribah instead of speaking to it
Numbers,20,12,13,Judgment: Moses and Aaron will not enter the land
Numbers,20,14,21,Request to pass through Edom denied; Israel turns away
Numbers,20,22,29,At Mount Hor Aaron’s priesthood transferred to Eleazar; Aaron dies
Numbers,21,1,3,Defeat of the Canaanite king of Arad after Israel’s vow
Numbers,21,4,9,Impatience and complaints; fiery serpents; bronze serpent raised for healing
Numbers,21,10,20,Journeys and encampments from Oboth to the region of Pisgah
Numbers,21,21,24,Israel asks passage from Sihon; he attacks; Israel defeats him
Numbers,21,25,31,"Israel occupies cities of Sihon, including Heshbon"
Numbers,21,32,35,Israel defeats Og king of Bashan and takes his land
Numbers,22,1,4,Israel camps in the plains of Moab; Balak sees what Israel did to the Amorites
Numbers,22,5,14,Balak sends elders to summon Balaam to curse Israel; Balaam inquires of God
Numbers,22,15,21,Second delegation with greater honor; God permits Balaam to go with conditions
Numbers,22,22,27,Angel of the LORD opposes Balaam; donkey turns aside three times
Numbers,22,28,30,The LORD opens the donkey’s mouth; donkey rebukes Balaam
Numbers,22,31,35,Balaam’s eyes are opened; he meets the Angel and is warned to speak only God’s word
Numbers,22,36,41,Balak meets Balaam; they go to Bamoth Baal to view part of Israel’s camp
Numbers,23,1,6,First attempt: seven altars on a high place; Balaam seeks a word
Numbers,23,7,10,First oracle: blessing on Israel’s uniqueness and multitude
Numbers,23,11,17,Balak protests; Balaam prepares for a second oracle at another location
Numbers,23,18,24,Second oracle: God’s unchanging blessing; Israel’s future victory
Numbers,23,25,30,Balak tries a third site to obtain a curse
Numbers,24,1,9,Third oracle: vision of Israel’s beauty and strength; blessing on those who bless Israel
Numbers,24,10,14,Balak’s anger; Balaam insists he can only speak what the LORD says
Numbers,24,15,19,Fourth oracle: star and scepter from Jacob; future rule
Numbers,24,20,24,"Oracles concerning Amalek, Kenites, and future nations from the sea"
Numbers,24,25,25,Balaam and Balak each go their way
Numbers,25,1,5,Israel’s harlotry with Moabite women and worship of Baal of Peor
Numbers,25,6,9,Israelite man and Midianite woman slain by Phinehas; plague stopped
Numbers,25,10,13,Covenant of peace and perpetual priesthood promised to Phinehas
Numbers,25,14,18,Names of the slain couple; hostility commanded against Midianites
Numbers,26,1,4,Command to take a second census on the plains of Moab
Numbers,26,5,11,Tribe of Reuben and its clans numbered; note on Dathan and Abiram
Numbers,26,12,14,Tribe of Simeon and its clans numbered
Numbers,26,15,18,Tribe of Gad and its clans numbered
Numbers,26,19,22,Tribe of Judah and its clans numbered
Numbers,26,23,25,Tribe of Issachar and its clans numbered
Numbers,26,26,27,Tribe of Zebulun and its clans numbered
Numbers,26,28,34,Tribe of Joseph through Manasseh and its clans numbered
Numbers,26,35,37,Tribe of Ephraim and its clans numbered
Numbers,26,38,41,Tribe of Benjamin and its clans numbered
Numbers,26,42,43,Tribe of Dan and its clans numbered
Numbers,26,44,47,Tribe of Asher and its clans numbered
Numbers,26,48,51,Tribe of Naphtali and its clans numbered; total of fighting men given
Numbers,26,52,56,Land to be apportioned by lot according to tribal size
Numbers,26,57,62,Census of the Levites by clan
Numbers,26,63,65,Summary: no adult from first census remains except Caleb and Joshua
Numbers,27,1,11,Daughters of Zelophehad request inheritance; ruling on daughters’ inheritance
Numbers,27,12,14,God shows Moses the land and announces his impending death
Numbers,27,15,17,Moses asks for a successor to lead the congregation
Numbers,27,18,23,Joshua appointed before Eleazar and all the people; hands laid on him
Numbers,28,1,8,Daily regular burnt offerings with grain and drink offerings
Numbers,28,9,10,Sabbath offerings added to the daily offerings
Numbers,28,11,15,Monthly new moon offerings
Numbers,28,16,25,Passover and Feast of Unleavened Bread offerings
Numbers,28,26,31,Feast of Weeks offerings
